Ident	Bloc	X	Y	DW.predicted.model1
G1	5	45	91	297.423651
G1	4	32	97	109.8160393
G1	3	29	16	NA
G1	2	15	105	169.2420293
G1	6	44	130	237.6469325
G1	1	18	58	NA
G2	2	13	93	610.2898258
G2	1	4	39	1268.838128
G2	3	35	60	836.9703468
G2	4	35	115	NA
G2	5	45	69	927.9771764
G2	6	49	117	688.0364796
G3	2	5	80	636.9270315
G3	1	22	25	696.2543292
G3	3	27	78	403.8467573
G3	6	45	136	105.0534272
G3	4	37	130	404.296241
G3	5	48	51	656.5023193
G4	6	50	129	242.9515835
G4	4	24	126	85.68302995
G4	2	12	66	846.9865196
G4	1	21	40	324.4788175
G4	5	46	81	499.1537497
G4	3	25	43	629.4086362
G5	3	28	48	NA
G5	1	20	54	485.5829565
G5	5	49	40	773.8468434
G5	6	44	117	413.0544535
G5	4	39	96	NA
G5	2	5	112	655.8411166
G6	2	12	64	217.6809075
G6	3	37	48	291.5851233
G6	6	45	120	NA
G6	1	22	16	122.8776429
G6	5	50	64	NA
G6	4	26	97	391.1386029
G7	2	17	62	353.0136283
G7	4	32	115	NA
G7	1	20	47	321.2363058
G7	6	46	100	209.7442838
G7	5	54	37	291.2556255
G7	3	33	53	257.9075385
G8	2	15	100	238.6585388
G8	5	49	92	153.3185453
G8	4	33	93	311.8931021
G8	6	53	126	NA
G8	3	34	30	139.0837048
G8	1	4	23	NA
G9	5	50	28	NA
G9	4	36	106	NA
G9	6	52	122	NA
G10	5	50	95	95.07450704
G10	1	19	34	163.5161231
G10	6	43	130	NA
G10	2	3	69	NA
G10	4	37	144	NA
G10	3	38	39	NA
G11	4	35	149	129.6979352
G11	3	34	21	131.1392457
G11	5	48	91	NA
G11	2	11	61	NA
G11	1	19	21	NA
G11	6	49	107	NA
G12	4	32	144	88.59698623
G12	1	18	25	NA
G12	5	44	42	282.7241098
G12	6	44	102	153.4476534
G12	3	34	33	480.138867
G12	2	4	83	420.3018093
G13	1	16	7	347.1421693
G13	4	35	86	322.7418619
G13	6	49	133	260.8964196
G13	3	30	39	NA
G13	2	18	78	468.5669273
G13	5	50	48	634.7366875
G14	4	27	147	166.6504739
G14	3	25	81	348.1066893
G14	5	51	89	778.4946029
G14	1	5	26	776.078729
G14	6	41	120	NA
G14	2	17	81	564.3316839
G15	6	51	131	503.2994631
G15	5	52	94	335.3558471
G15	3	26	70	912.1655371
G15	4	33	112	640.8195827
G15	2	17	106	602.1335461
G15	1	4	7	NA
G16	6	54	131	306.8130614
G16	5	53	86	NA
G16	3	23	70	77.1026878
G16	2	11	93	312.0029646
G16	4	36	96	NA
G16	1	3	8	53.01281657
G17	2	18	63	397.4269829
G17	6	47	104	201.7927055
G17	1	10	19	282.5347636
G17	3	26	32	670.6417201
G17	5	49	57	326.080858
G17	4	35	106	NA
G18	1	9	55	354.7206396
G18	6	42	102	239.2265341
G18	5	55	52	137.3554004
G18	2	6	74	326.9345784
G18	3	28	50	290.4841726
G18	4	34	116	NA
G19	2	9	104	265.7817964
G19	3	24	42	NA
G19	5	47	41	NA
G19	6	53	101	NA
G19	4	24	100	NA
G19	1	20	14	120.8193506
G20	4	37	140	NA
G20	1	14	53	NA
G20	6	54	150	NA
G20	2	15	65	NA
G20	3	23	49	165.1897944
G20	5	48	42	281.3925575
G21	2	18	92	431.453311
G21	6	51	125	183.5527147
G21	4	28	102	330.7249376
G21	1	3	32	NA
G21	3	27	20	146.5931194
G21	5	53	54	234.8835813
G22	6	55	114	293.9387545
G22	4	36	132	NA
G22	2	21	101	214.8759518
G22	5	54	82	588.6264647
G22	3	24	64	400.6859374
G22	1	15	48	379.4734091
G23	5	56	58	333.01058
G23	2	20	60	683.9851436
G23	4	30	150	172.2322792
G23	3	33	69	687.6521839
G23	1	6	55	312.2728954
G23	6	56	100	271.8349519
G24	6	55	145	218.2013249
G24	2	8	68	254.5437319
G24	4	23	105	241.0125996
G24	1	12	36	464.496384
G24	3	30	18	NA
G24	5	54	80	NA
G25	1	22	7	298.3097705
G25	3	26	26	380.3626595
G25	6	54	162	358.9972825
G25	5	46	36	405.9441801
G25	2	21	89	393.6967977
G25	4	31	90	473.0633051
G26	3	30	35	NA
G26	5	47	35	NA
G26	4	25	138	NA
G26	1	5	20	125.2381289
G26	2	13	69	NA
G26	6	55	138	NA
G27	2	9	85	333.2526977
G27	4	32	132	261.1878299
G27	6	46	120	378.6974598
G27	3	24	76	404.4358618
G27	5	40	32	421.9349383
G27	1	4	59	460.7954707
G28	6	53	144	NA
G28	5	48	52	NA
G29	4	26	133	NA
G29	2	11	98	478.8517829
G29	6	52	155	703.6498595
G29	5	43	95	293.0979826
G29	1	3	14	332.3569225
G29	3	29	22	228.1290905
G30	3	35	46	340.9340311
G30	1	5	16	402.3592818
G30	6	48	148	443.8371031
G30	2	13	99	479.4528724
G30	5	42	66	390.495439
G30	4	27	92	581.4965568
G31	5	52	43	246.4539265
G31	2	17	67	779.3953264
G31	4	31	107	551.0082238
G31	3	24	20	337.5985122
G31	6	52	132	357.8593873
G31	1	13	9	496.2048367
G32	1	3	27	310.5678903
G32	3	38	18	NA
G32	4	31	116	235.0160415
G32	5	42	69	NA
G32	2	9	91	333.0915587
G32	6	55	151	293.2424506
G33	2	14	108	544.1096333
G33	1	20	5	409.7357668
G33	3	30	71	305.2482862
G33	6	45	160	98.62686044
G33	4	30	108	NA
G33	5	51	91	649.1707927
G34	5	43	40	245.7620194
G34	2	17	108	221.9769987
G34	4	29	142	203.7279451
G34	1	20	59	180.8127623
G34	3	32	33	239.5282326
G34	6	41	151	NA
G35	6	46	150	311.1884743
G35	4	23	148	NA
G35	3	23	38	NA
G35	1	19	26	957.7836271
G35	2	12	108	748.1404269
G35	5	51	60	1142.990584
G36	6	44	111	657.2868239
G36	2	6	109	1173.00878
G36	1	18	31	282.8168483
G36	4	23	131	85.17261458
G36	5	41	63	294.263099
G36	3	25	42	619.5710117
G37	1	6	21	675.8479861
G37	5	52	57	NA
G37	4	26	148	959.1439588
G37	6	40	146	339.6450658
G37	2	4	93	1112.919864
G37	3	27	62	1059.371385
G38	1	4	52	470.6548358
G38	4	24	145	NA
G38	6	44	158	104.4733856
G38	3	31	29	532.3142291
G38	2	11	83	595.9502201
G38	5	42	63	496.4948576
G39	2	4	94	NA
G39	4	27	115	NA
G39	3	35	27	NA
G39	5	45	90	NA
G39	6	40	110	NA
G39	1	19	41	318.4059674
G40	3	34	39	507.1198885
G40	5	45	46	667.5346968
G40	6	50	149	293.8231686
G40	4	37	97	219.0707544
G40	2	5	94	614.8175839
G40	1	10	40	305.8214778
G41	3	35	55	1114.029427
G41	2	10	115	726.6212471
G41	5	44	53	379.749012
G41	1	4	8	642.0872962
G41	4	28	110	469.0390518
G41	6	42	122	571.0523638
G42	4	28	116	NA
G42	5	41	82	122.5871734
G42	1	21	50	NA
G42	6	50	154	NA
G42	2	7	107	221.8537406
G42	3	37	52	253.704697
G43	1	21	18	599.1086843
G43	2	9	102	226.0475611
G43	5	41	94	261.3834748
G43	6	52	141	323.8719798
G43	4	39	84	303.7803048
G43	3	27	29	625.0950957
G44	5	40	91	705.8063297
G44	4	25	85	284.8640138
G44	2	13	76	740.286458
G44	6	40	131	664.2528303
G44	3	24	30	1157.581758
G44	1	20	35	560.0385767
G45	2	3	94	176.111369
G45	6	51	128	NA
G45	4	35	103	286.1681773
G45	3	24	32	319.9511219
G45	5	49	56	NA
G45	1	5	29	228.4084333
G46	3	25	51	563.0994155
