REG;COL;ROW;X;Y;FAM;REP;H03;QPI;VPI;VPI2
1;12;1;1;36;VAL30;1;416;9.14;0.89;0.62742241
2;12;1;1;35;VAL30;1;501;3.71;0.73;0.28398241
3;12;1;1;34;VAL30;1;515;8.38;0.88;0.59969536
4;11;1;1;33;VAL41;1;375;11;0.91;0.68574961
5;11;1;1;32;VAL41;1;555;4;0.75;0.31640625
6;11;1;1;31;VAL41;1;605;3.39;0.71;0.25411681
7;10;1;1;30;VAL63;2;570;3.55;0.72;0.26873856
8;10;1;1;29;VAL63;2;515;11.8;0.92;0.71639296
9;10;1;1;28;VAL63;2;531;5.27;0.81;0.43046721
10;9;1;1;27;VAL68;2;562;4.46;0.78;0.37015056
11;9;1;1;26;VAL68;2;490;3.56;0.72;0.26873856
12;9;1;1;25;VAL68;2;NA;NA;NA;NA
13;8;1;1;24;VAL48;3;424;5.78;0.83;0.47458321
14;8;1;1;23;VAL48;3;496;4;0.75;0.31640625
15;8;1;1;22;VAL48;3;494;5.38;0.81;0.43046721
16;7;1;1;21;VAL53;3;430;6.67;0.85;0.52200625
17;7;1;1;20;VAL53;3;490;5.58;0.82;0.45212176
18;7;1;1;19;VAL53;3;472;7.75;0.87;0.57289761
19;6;1;1;18;VAL84;4;517;8.63;0.88;0.59969536
20;6;1;1;17;VAL84;4;542;10;0.9;0.6561
21;6;1;1;16;VAL84;4;454;7.22;0.86;0.54700816
22;5;1;1;15;VAL27;4;448;3.93;0.75;0.31640625
23;5;1;1;14;VAL27;4;350;25.5;0.96;0.84934656
24;5;1;1;13;VAL27;4;354;11.2;0.91;0.68574961
25;4;1;1;12;VAL68;5;477;16.75;0.94;0.78074896
26;4;1;1;11;VAL68;5;514;10.83;0.91;0.68574961
27;4;1;1;10;VAL68;5;463;6;0.83;0.47458321
28;3;1;1;9;VAL18;5;490;3.44;0.71;0.25411681
29;3;1;1;8;VAL18;5;424;4.5;0.78;0.37015056
30;3;1;1;7;VAL18;5;293;6.38;0.84;0.49787136
31;2;1;1;6;VAL10;6;448;4.42;0.77;0.35153041
32;2;1;1;5;VAL10;6;494;6.5;0.85;0.52200625
33;2;1;1;4;VAL10;6;NA;NA;NA;NA
34;1;1;1;3;VAL8;6;504;4.05;0.75;0.31640625
35;1;1;1;2;VAL8;6;517;10.83;0.91;0.68574961
36;1;1;1;1;VAL8;6;448;5.3;0.81;0.43046721
37;1;2;2;1;VAL58;6;546;2.6;0.62;0.14776336
38;1;2;2;2;VAL58;6;303;2.69;0.63;0.15752961
39;1;2;2;3;VAL58;6;469;5.85;0.83;0.47458321
40;2;2;2;4;VAL68;6;520;5.82;0.83;0.47458321
41;2;2;2;5;VAL68;6;432;3.64;0.73;0.28398241
42;2;2;2;6;VAL68;6;480;3.5;0.71;0.25411681
43;3;2;2;7;VAL62;5;372;7.38;0.86;0.54700816
44;3;2;2;8;VAL62;5;415;6.89;0.85;0.52200625
45;3;2;2;9;VAL62;5;448;4.31;0.77;0.35153041
46;4;2;2;10;VAL84;5;586;3.84;0.74;0.29986576
47;4;2;2;11;VAL84;5;499;4.07;0.75;0.31640625
48;4;2;2;12;VAL84;5;406;10.8;0.91;0.68574961
49;5;2;2;13;VAL54;4;459;8.88;0.89;0.62742241
50;5;2;2;14;VAL54;4;421;4.45;0.78;0.37015056
51;5;2;2;15;VAL54;4;456;4;0.75;0.31640625
52;6;2;2;16;VAL4;4;423;6;0.83;0.47458321
53;6;2;2;17;VAL4;4;NA;NA;NA;NA
54;6;2;2;18;VAL4;4;397;5.22;0.81;0.43046721
55;7;2;2;19;VAL30;3;420;4.54;0.78;0.37015056
56;7;2;2;20;VAL30;3;571;2.71;0.63;0.15752961
57;7;2;2;21;VAL30;3;543;3.32;0.7;0.2401
58;8;2;2;22;VAL55;3;466;12.6;0.92;0.71639296
59;8;2;2;23;VAL55;3;567;10;0.9;0.6561
60;8;2;2;24;VAL55;3;435;12.5;0.92;0.71639296
61;9;2;2;25;VAL28;2;608;5.62;0.82;0.45212176
62;9;2;2;26;VAL28;2;592;6;0.83;0.47458321
63;9;2;2;27;VAL28;2;534;5.38;0.81;0.43046721
64;10;2;2;28;VAL59;2;505;5.07;0.8;0.4096
65;10;2;2;29;VAL59;2;NA;NA;NA;NA
66;10;2;2;30;VAL59;2;564;4.75;0.79;0.38950081
67;11;2;2;31;VAL54;1;498;5.75;0.83;0.47458321
68;11;2;2;32;VAL54;1;514;4.07;0.75;0.31640625
69;11;2;2;33;VAL54;1;317;17;0.94;0.78074896
70;12;2;2;34;VAL18;1;396;11.5;0.91;0.68574961
71;12;2;2;35;VAL18;1;480;5.5;0.82;0.45212176
72;12;2;2;36;VAL18;1;638;17.6;0.94;0.78074896
73;12;3;3;36;VAL26;1;414;9.83;0.9;0.6561
74;12;3;3;35;VAL26;1;546;3.21;0.69;0.22667121
75;12;3;3;34;VAL26;1;303;8.4;0.88;0.59969536
76;11;3;3;33;VAL19;1;287;4.8;0.79;0.38950081
77;11;3;3;32;VAL19;1;500;4.46;0.78;0.37015056
78;11;3;3;31;VAL19;1;549;7;0.86;0.54700816
79;10;3;3;30;VAL64;2;448;8.13;0.88;0.59969536
80;10;3;3;29;VAL64;2;NA;NA;NA;NA
81;10;3;3;28;VAL64;2;501;7.44;0.87;0.57289761
82;9;3;3;27;VAL61;2;501;6;0.83;0.47458321
83;9;3;3;26;VAL61;2;611;21.17;0.95;0.81450625
84;9;3;3;25;VAL61;2;448;6.8;0.85;0.52200625
85;8;3;3;24;VAL69;3;465;4.85;0.79;0.38950081
86;8;3;3;23;VAL69;3;474;4.83;0.79;0.38950081
87;8;3;3;22;VAL69;3;432;4.75;0.79;0.38950081
88;7;3;3;21;VAL13;3;464;2.8;0.64;0.16777216
89;7;3;3;20;VAL13;3;468;4.08;0.76;0.33362176
90;7;3;3;19;VAL13;3;442;3.69;0.73;0.28398241
91;6;3;3;18;VAL41;4;435;5.18;0.81;0.43046721
92;6;3;3;17;VAL41;4;492;3.88;0.74;0.29986576
93;6;3;3;16;VAL41;4;511;2.55;0.61;0.13845841
94;5;3;3;15;VAL11;4;500;6.1;0.84;0.49787136
95;5;3;3;14;VAL11;4;379;6.2;0.84;0.49787136
96;5;3;3;13;VAL11;4;417;12.2;0.92;0.71639296
97;4;3;3;12;VAL56;5;546;4.43;0.77;0.35153041
98;4;3;3;11;VAL56;5;472;4;0.75;0.31640625
99;4;3;3;10;VAL56;5;499;6.44;0.84;0.49787136
100;3;3;3;9;VAL48;5;587;8.8;0.89;0.62742241
101;3;3;3;8;VAL48;5;568;2.91;0.66;0.18974736
102;3;3;3;7;VAL48;5;448;2.35;0.57;0.10556001
103;2;3;3;6;VAL4;6;505;9.86;0.9;0.6561
104;2;3;3;5;VAL4;6;564;5.71;0.83;0.47458321
105;2;3;3;4;VAL4;6;570;8.33;0.88;0.59969536
106;1;3;3;3;VAL40;6;502;6.3;0.84;0.49787136
107;1;3;3;2;VAL40;6;393;9.14;0.89;0.62742241
108;1;3;3;1;VAL40;6;481;3.76;0.73;0.28398241
109;1;4;4;1;VAL22;6;518;2.5;0.6;0.1296
110;1;4;4;2;VAL22;6;507;6.33;0.84;0.49787136
111;1;4;4;3;VAL22;6;448;9.17;0.89;0.62742241
112;2;4;4;4;VAL54;6;506;4.83;0.79;0.38950081
113;2;4;4;5;VAL54;6;505;2.68;0.63;0.15752961
114;2;4;4;6;VAL54;6;580;4.25;0.76;0.33362176
115;3;4;4;7;VAL30;5;467;3.48;0.71;0.25411681
116;3;4;4;8;VAL30;5;641;3.42;0.71;0.25411681
117;3;4;4;9;VAL30;5;521;4.33;0.77;0.35153041
118;4;4;4;10;VAL51;5;546;5.92;0.83;0.47458321
119;4;4;4;11;VAL51;5;576;3.11;0.68;0.21381376
120;4;4;4;12;VAL51;5;456;6.1;0.84;0.49787136
121;5;4;4;13;VAL62;4;NA;NA;NA;NA
122;5;4;4;14;VAL62;4;474;6.89;0.85;0.52200625
123;5;4;4;15;VAL62;4;433;6;0.83;0.47458321
124;6;4;4;16;VAL51;4;442;5.4;0.81;0.43046721
125;6;4;4;17;VAL51;4;564;10.5;0.9;0.6561
126;6;4;4;18;VAL51;4;508;5.08;0.8;0.4096
127;7;4;4;19;VAL28;3;432;4.85;0.79;0.38950081
128;7;4;4;20;VAL28;3;481;5;0.8;0.4096
129;7;4;4;21;VAL28;3;540;2.52;0.6;0.1296
130;8;4;4;22;VAL39;3;505;5.73;0.83;0.47458321
131;8;4;4;23;VAL39;3;514;9.86;0.9;0.6561
132;8;4;4;24;VAL39;3;511;6.78;0.85;0.52200625
133;9;4;4;25;VAL32;2;491;4.13;0.76;0.33362176
134;9;4;4;26;VAL32;2;527;6.58;0.85;0.52200625
135;9;4;4;27;VAL32;2;610;4.06;0.75;0.31640625
136;10;4;4;28;VAL78;2;547;4.19;0.76;0.33362176
137;10;4;4;29;VAL78;2;587;5.57;0.82;0.45212176
138;10;4;4;30;VAL78;2;400;8;0.88;0.59969536
139;11;4;4;31;VAL74;1;514;6.18;0.84;0.49787136
140;11;4;4;32;VAL74;1;641;3.33;0.7;0.2401
141;11;4;4;33;VAL74;1;524;17;0.94;0.78074896
142;12;4;4;34;VAL58;1;532;10.67;0.91;0.68574961
143;12;4;4;35;VAL58;1;541;10;0.9;0.6561
144;12;4;4;36;VAL58;1;568;4;0.75;0.31640625
145;12;5;5;36;VAL39;1;499;8.75;0.89;0.62742241
146;12;5;5;35;VAL39;1;508;6.78;0.85;0.52200625
147;12;5;5;34;VAL39;1;357;13.25;0.92;0.71639296
148;11;5;5;33;VAL70;1;437;8.86;0.89;0.62742241
149;11;5;5;32;VAL70;1;541;5.91;0.83;0.47458321
150;11;5;5;31;VAL70;1;350;11.5;0.91;0.68574961
151;10;5;5;30;VAL53;2;482;11;0.91;0.68574961
152;10;5;5;29;VAL53;2;478;3.5;0.71;0.25411681
153;10;5;5;28;VAL53;2;552;5.07;0.8;0.4096
154;9;5;5;27;VAL74;2;515;6.55;0.85;0.52200625
155;9;5;5;26;VAL74;2;546;4.93;0.8;0.4096
156;9;5;5;25;VAL74;2;509;9.25;0.89;0.62742241
157;8;5;5;24;VAL4;3;546;6.27;0.84;0.49787136
158;8;5;5;23;VAL4;3;437;4.67;0.79;0.38950081
159;8;5;5;22;VAL4;3;448;7;0.86;0.54700816
160;7;5;5;21;VAL62;3;414;3.4;0.71;0.25411681
161;7;5;5;20;VAL62;3;482;38.67;0.97;0.88529281
162;7;5;5;19;VAL62;3;418;6.11;0.84;0.49787136
163;6;5;5;18;VAL34;4;502;4.77;0.79;0.38950081
164;6;5;5;17;VAL34;4;630;4.94;0.8;0.4096
165;6;5;5;16;VAL34;4;NA;NA;NA;NA
166;5;5;5;15;VAL53;4;532;4.06;0.75;0.31640625
167;5;5;5;14;VAL53;4;522;4;0.75;0.31640625
168;5;5;5;13;VAL53;4;533;4.57;0.78;0.37015056
169;4;5;5;12;VAL6;5;378;4.91;0.8;0.4096
170;4;5;5;11;VAL6;5;342;5.1;0.8;0.4096
171;4;5;5;10;VAL6;5;489;3.1;0.68;0.21381376
172;3;5;5;9;VAL11;5;497;3.81;0.74;0.29986576
173;3;5;5;8;VAL11;5;514;2.9;0.66;0.18974736
174;3;5;5;7;VAL11;5;448;3.63;0.72;0.26873856
175;2;5;5;6;VAL61;6;663;2.64;0.62;0.14776336
176;2;5;5;5;VAL61;6;620;3.79;0.74;0.29986576
177;2;5;5;4;VAL61;6;512;2.83;0.65;0.17850625
178;1;5;5;3;VAL20;6;700;2.89;0.65;0.17850625
179;1;5;5;2;VAL20;6;556;4.3;0.77;0.35153041
180;1;5;5;1;VAL20;6;520;6.67;0.85;0.52200625
181;1;6;6;1;VAL62;6;535;6.65;0.85;0.52200625
182;1;6;6;2;VAL62;6;542;3.5;0.71;0.25411681
183;1;6;6;3;VAL62;6;517;3.2;0.69;0.22667121
184;2;6;6;4;VAL64;6;610;2.68;0.63;0.15752961
185;2;6;6;5;VAL64;6;407;2.94;0.66;0.18974736
186;2;6;6;6;VAL64;6;557;6.5;0.85;0.52200625
187;3;6;6;7;VAL27;5;468;5.27;0.81;0.43046721
188;3;6;6;8;VAL27;5;581;3.89;0.74;0.29986576
189;3;6;6;9;VAL27;5;492;8.38;0.88;0.59969536
190;4;6;6;10;VAL55;5;466;22.33;0.96;0.84934656
191;4;6;6;11;VAL55;5;675;5.13;0.8;0.4096
192;4;6;6;12;VAL55;5;448;3.62;0.72;0.26873856
193;5;6;6;13;VAL83;4;535;4.35;0.77;0.35153041
194;5;6;6;14;VAL83;4;539;7.4;0.86;0.54700816
195;5;6;6;15;VAL83;4;526;9.57;0.9;0.6561
196;6;6;6;16;VAL57;4;528;3.33;0.7;0.2401
197;6;6;6;17;VAL57;4;467;2.65;0.62;0.14776336
198;6;6;6;18;VAL57;4;556;7.08;0.86;0.54700816
199;7;6;6;19;VAL26;3;518;8.38;0.88;0.59969536
200;7;6;6;20;VAL26;3;350;4.2;0.76;0.33362176
201;7;6;6;21;VAL26;3;477;4.38;0.77;0.35153041
202;8;6;6;22;VAL68;3;483;7.4;0.86;0.54700816
203;8;6;6;23;VAL68;3;448;6.11;0.84;0.49787136
204;8;6;6;24;VAL68;3;521;3.11;0.68;0.21381376
205;9;6;6;25;VAL31;2;474;4.5;0.78;0.37015056
206;9;6;6;26;VAL31;2;545;4.06;0.75;0.31640625
207;9;6;6;27;VAL31;2;401;3.5;0.71;0.25411681
208;10;6;6;28;VAL48;2;545;6.18;0.84;0.49787136
209;10;6;6;29;VAL48;2;489;7.75;0.87;0.57289761
210;10;6;6;30;VAL48;2;560;5.92;0.83;0.47458321
211;11;6;6;31;VAL84;1;487;3.63;0.72;0.26873856
212;11;6;6;32;VAL84;1;434;7.38;0.86;0.54700816
213;11;6;6;33;VAL84;1;413;9.83;0.9;0.6561
214;12;6;6;34;VAL32;1;578;8.88;0.89;0.62742241
215;12;6;6;35;VAL32;1;466;5.9;0.83;0.47458321
216;12;6;6;36;VAL32;1;460;17.75;0.94;0.78074896
217;12;7;7;36;VAL20;1;372;7.29;0.86;0.54700816
218;12;7;7;35;VAL20;1;448;19.33;0.95;0.81450625
219;12;7;7;34;VAL20;1;545;5.5;0.82;0.45212176
220;11;7;7;33;VAL13;1;423;5;0.8;0.4096
221;11;7;7;32;VAL13;1;523;10.67;0.91;0.68574961
222;11;7;7;31;VAL13;1;527;6;0.83;0.47458321
223;10;7;7;30;VAL69;2;497;5.33;0.81;0.43046721
